Table 5
CCCP BVRI Photometry of SN 2005db

MJD-53000	B	B Error	V	V Error	R	R Error	I	I Error	
(day)	(mag)	(mag)	(mag)	(mag)	(mag)	(mag)	(mag)	(mag)	
572.31	19.21	0.35	18.34	0.18	17.46	0.08	16.96	0.03	
573.36	18.67	0.15	18.04	0.07	17.51	0.04	16.81	0.05	
584.38			17.80	0.07					
585.49	18.40	0.05	17.65	0.06	16.99	0.04	16.52	0.02	
589.35	18.38	0.04	17.62	0.08	17.04	0.03	16.48	0.02	
593.36	18.36	0.09	17.67	0.08	16.95	0.04	16.43	0.03	
594.44	18.39	0.05	17.63	0.06	16.99	0.04	16.48	0.03	
596.39	18.37	0.07	17.56	0.05	17.00	0.03	16.47	0.03	
599.36	18.39	0.05	17.58	0.05	16.96	0.04	16.42	0.04	
601.30	18.40	0.05	17.57	0.05			16.44	0.02	
608.45	18.43	0.06	17.62	0.06	16.96	0.03	16.44	0.02	
611.10	18.48	0.04	17.66	0.05	16.99	0.05	16.37	0.03	
613.22	18.45	0.09							
614.29	18.46	0.05	17.66	0.06	17.03	0.04	16.36	0.03	
615.34			17.72	0.06	17.03	0.03	16.50	0.02	
616.36	18.53	0.04	17.76	0.06	17.03	0.03	16.44	0.02	
617.51	18.54	0.12	17.76	0.07	17.01	0.04	16.49	0.03	
619.18	18.56	0.07	17.74	0.06	17.02	0.05	16.49	0.03	
620.21	18.57	0.05	17.76	0.12	17.03	0.04	16.40	0.02	
621.22	18.63	0.05	17.77	0.07	17.06	0.04	16.45	0.03	
628.23			17.90	0.10	17.01	0.04			
629.33	18.78	0.09	17.83	0.08			16.49	0.04	
635.42			17.92	0.40	17.17	0.04	16.60	0.02	
643.16	19.09	0.15	18.01	0.08	17.31	0.04	16.67	0.03	
651.33			18.28	0.11	17.52	0.03			
657.30	19.68	0.24	18.50	0.11	17.70	0.04	16.95	0.05	
664.19	19.81	0.44	18.72	0.15	17.84	0.07	17.06	0.06	
669.29	20.02	0.21	18.88	0.07	17.95	0.03	17.22	0.07	
673.16	20.24	0.17	19.01	0.27	18.03	0.07	17.27	0.09	
690.16			>19.99		>18.99		17.88	0.12	
694.30	>20.78		>21.36		>20.68				
699.20			>20.65		>21.04		>19.28		
