Table 4
CCCP BVRI Photometry of SN 2005cp

MJD-53000	B	B Error	V	V Error	R	R Error	I	I Error	
(day)	(mag)	(mag)	(mag)	(mag)	(mag)	(mag)	(mag)	(mag)	
554.42	16.91	0.05			16.77	0.02	16.69	0.07	
559.38	16.86	0.05	16.97	0.03	16.62	0.03	16.56	0.06	
562.42			16.73	0.02					
570.35			16.63	0.03					
584.43							16.13	0.14	
589.37	17.07	0.06	16.70	0.06	16.48	0.02			
593.43	17.08	0.05	16.72	0.06	16.49	0.02	16.18	0.07	
596.42	17.15	0.05	16.73	0.03	16.52	0.02			
599.41	17.20	0.06					16.31	0.06	
601.33	17.21	0.05	16.76	0.03	16.50	0.02			
611.08	17.35	0.06	16.91	0.03	16.58	0.02	16.37	0.06	
613.36	17.40	0.05	16.96	0.06	16.63	0.02	16.35	0.06	
614.38	17.42	0.11	16.91	0.02	16.63	0.02	16.33	0.07	
615.41	17.44	0.05	16.95	0.03			16.33	0.06	
616.43	17.45	0.06	16.97	0.02	16.66	0.03	16.38	0.07	
620.32	17.48	0.06	16.95	0.05	16.67	0.02	16.47	0.06	
629.34	17.65	0.05	17.14	0.04	16.81	0.02	16.53	0.09	
648.33	17.98	0.08	17.26	0.08	16.99	0.02			
654.32			17.57	0.06	17.06	0.02	16.77	0.07	
663.22			17.64	0.03	17.22	0.04	16.91	0.09	
668.27	18.23	0.09	17.49	0.13			16.78	0.13	
672.24	18.38	0.05	17.78	0.08	17.34	0.04	16.95	0.10	
676.13			17.79	0.11	17.37	0.05	16.92	0.09	
689.13					17.64	0.11	17.27	0.09	
693.13	18.78	0.77	17.85	0.06	17.74	0.06	17.28	0.18	
694.17	18.80	0.09					17.34	0.09	
699.14	19.02	0.14			17.76	0.02	17.59	0.07	
710.22	19.04	0.92	18.21	0.11					
743.11	19.37	0.19	18.92	0.15					
