Table 3
CCCP BVRI Photometry of SN 2005cl

MJD-53000	B	B Error	V	V Error	R	R Error	I	I Error	
(day)	(mag)	(mag)	(mag)	(mag)	(mag)	(mag)	(mag)	(mag)	
536.31	18.28	0.21	17.64	0.06	17.29	0.06	17.35	0.12	
541.40					17.02	0.07	17.06	0.11	
544.29	17.57	0.21	17.18	0.07	16.90	0.07	16.88	0.11	
548.30	17.46	0.21	17.17	0.04	16.80	0.06	16.86	0.13	
549.42	17.56	0.21	17.10	0.04	16.78	0.06	16.77	0.11	
551.32	17.61	0.21	17.12	0.04					
551.45			17.07	0.04			16.80	0.12	
552.48					16.76	0.06			
553.32	17.54	0.23	17.13	0.04	16.80	0.06	16.84	0.11	
554.43	17.59	0.21	17.11	0.04	16.77	0.06	16.81	0.11	
555.45					16.79	0.06			
557.31	17.56	0.21	17.11	0.04	16.78	0.06	16.76	0.13	
559.27	17.48	0.22	17.14	0.04	16.79	0.07	16.80	0.11	
560.32	17.61	0.21	17.15	0.04	16.81	0.06	16.83	0.11	
562.27	17.65	0.21	17.19	0.04	16.81	0.06	16.81	0.11	
563.40	17.68	0.21	17.21	0.04	16.84	0.06	16.87	0.11	
570.29	17.83	0.21	17.30	0.05	16.84	0.06			
578.37	17.87	0.21	17.38	0.04					
580.40	17.94	0.21	17.41	0.04	17.01	0.06	16.92	0.11	
584.39			17.41	0.04	17.05	0.06	17.05	0.12	
589.33	18.11	0.21	17.50	0.04	17.10	0.06	17.04	0.12	
593.37	18.13	0.22	17.57	0.04	17.02	0.06	17.04	0.11	
596.37	18.31	0.22	17.56	0.05	17.17	0.06	17.07	0.12	
599.35	18.40	0.22	17.70	0.05	17.25	0.06	17.15	0.12	
610.99	18.96	0.22	18.06	0.05	17.55	0.07	17.52	0.15	
613.17	19.09	0.22	18.17	0.05	17.57	0.06	17.44	0.13	
614.22	19.03	0.22	18.20	0.05	17.63	0.07	17.58	0.12	
615.28	19.23	0.25	18.27	0.05	17.69	0.07	17.55	0.12	
616.30	19.29	0.24	18.26	0.05	17.70	0.07	17.51	0.12	
619.19	19.30	0.25	18.37	0.04	17.81	0.08	17.66	0.11	
620.20	19.28	0.21	18.31	0.13	17.87	0.08	17.62	0.11	
621.21	19.51	0.21	18.45	0.04	17.84	0.16	17.65	0.11	
623.25					17.85	0.11			
630.30					18.18	0.15	18.06	0.12	
634.23							18.57	0.14	
642.19	21.81	1.11	20.93	0.42	20.35	0.12	20.43	0.50	
649.32	23.53	2.17	21.56	0.41	20.47	0.44	21.26	0.11	
