PS1-13duq	Ia	56588.381	21.64	iP1	0.989
PS1-13bzp	Ia	56478.276	21.33	gP1	0.98
PS1-13bzp	Ia	56478.276	21.30	gP1	0.975
PS1-13abg	II-P	56383.336	21.47	zP1	0.971
PS1-13bqg	Ia	56443.287	20.90	gP1	0.968
PS1-13abg	II-P	56383.336	21.55	zP1	0.963
PS1-14il	IIn	56676.554	21.36	zP1	0.959
PS1-13vc	Ia	56351.476	20.67	zP1	0.958
PS1-13abw	Ic	56383.438	21.23	zP1	0.958
PS1-14ky	II	56681.499	21.60	zP1	0.957
PS1-13ur	Ia	56351.525	20.32	zP1	0.955
PS1-13eae	II	56604.598	19.82	yP1	0.954
PS1-13alz	II-P	56399.282	20.43	iP1	0.952
PS1-12cnr	Ia	56283.340	20.33	zP1	0.948
PS1-13can	Ia	56477.567	22.04	zP1	0.946
PS1-13cws	Ia	56549.460	21.48	zP1	0.943
PS1-13ge	Ia	56328.612	21.49	gP1	0.94
PS1-12cho	Ia	56262.469	21.07	zP1	0.933
PS1-12cey	II	56268.294	22.06	gP1	0.931
PS1-13bok	I	56424.560	22.35	rP1	0.926
PS1-13djz	Ic	56554.585	20.74	zP1	0.923
PS1-13a	Ia	56289.280	21.20	zP1	0.919
PS1-13bit	Ia	56420.548	22.69	iP1	0.918
PS1-13bqb	Ia	56443.287	22.32	gP1	0.918
PS1-13djj	Ia	56563.576	20.72	gP1	0.916
PS1-12bza	II-P	56262.469	21.12	zP1	0.914
PS1-13brf	Ia	56443.324	22.68	rP1	0.91
PS1-13hp	II-P	56325.545	21.40	gP1	0.907
PS1-13adg	Ia	56384.515	21.71	rP1	0.902
PS1-13awf	I	56417.315	22.47	iP1	0.899
PS1-13atm	II-P	56410.298	22.25	zP1	0.898
PS1-13cjb	II	56501.436	22.63	gP1	0.896
PS1-12cho	Ia	56262.469	21.08	zP1	0.884
PS1-13cai	Ia	56477.567	21.99	zP1	0.882
PS1-13bni	II-P	56420.548	23.07	iP1	0.873
PS1-13bog	Ia	56417.341	22.57	iP1	0.867
PS1-12chw	Ia	56262.313	21.21	yP1	0.857
PS1-13bqv	Ia	56442.486	21.64	zP1	0.849
PS1-13djs	Ia	56562.587	21.44	zP1	0.84
PS1-13aai/SN 2013au	Ia	56370.421	19.29	zP1	0.833
PS1-13cuc/SN 2013go	Ia	56536.587	19.03	zP1	0.814
PS1-13hs	I	56328.515	21.97	gP1	0.801
PS1-13baf	II-P	56414.521	22.54	iP1	0.801
PS1-13avb	Ib	56414.521	21.75	iP1	0.796
PS1-13ayn	Ia	56416.449	22.01	rP1	0.77
PS1-13aai/SN 2013au	Ia	56370.421	19.36	zP1	0.735
PS1-13fo/SN 2013X	Ia	56314.625	18.04	yP1	0.713
PS1-13bus	Ia	56462.440	22.91	iP1	0.708
PS1-13brw	II-P	56436.325	20.71	yP1	0.707
PS1-13hi	IIn	56324.604	18.50	zP1	0.704
PS1-13bvc	Ia	56469.349	21.90	zP1	0.698
PS1-13bzk	Ia	56468.571	21.38	yP1	0.662
PS1-13abf	Ia	56380.368	20.21	yP1	0.642
PS1-13arv	Ia	56409.239	20.98	yP1	0.638
PS1-13wr	II-P	56349.602	20.39	yP1	0.637
PS1-14xz/SN 2014bc	II-P	56399.380	18.25	iP1	0.623
PS1-13wr	II-P	56349.602	20.40	yP1	0.61
PS1-13buf	Ia	56461.299	22.60	zP1	0.577
